汉字、所有汉字、汉字大全、全部汉字 一共(71724)个
编码	0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F
2710	𧄀	𧄁	𧄂	𧄃	𧄄	𧄅	𧄆	𧄇	𧄈	𧄉	𧄊	𧄋	𧄌	𧄍	𧄎	𧄏
2711	𧄐	𧄑	𧄒	𧄓	𧄔	𧄕	𧄖	𧄗	𧄘	𧄙	𧄚	𧄛	𧄜	𧄝	𧄞	𧄟
2712	𧄠	𧄡	𧄢	𧄣	𧄤	𧄥	𧄦	𧄧	𧄨	𧄩	𧄪	𧄫	𧄬	𧄭	𧄮	𧄯
2713	𧄰	𧄱	𧄲	𧄳	𧄴	𧄵	𧄶	𧄷	𧄸	𧄹	𧄺	𧄻	𧄼	𧄽	𧄾	𧄿
2714	𧅀	𧅁	𧅂	𧅃	𧅄	𧅅	𧅆	𧅇	𧅈	𧅉	𧅊	𧅋	𧅌	𧅍	𧅎	𧅏
2715	𧅐	𧅑	𧅒	𧅓	𧅔	𧅕	𧅖	𧅗	𧅘	𧅙	𧅚	𧅛	𧅜	𧅝	𧅞	𧅟
2716	𧅠	𧅡	𧅢	𧅣	𧅤	𧅥	𧅦	𧅧	𧅨	𧅩	𧅪	𧅫	𧅬	𧅭	𧅮	𧅯
2717	𧅰	𧅱	𧅲	𧅳	𧅴	𧅵	𧅶	𧅷	𧅸	𧅹	𧅺	𧅻	𧅼	𧅽	𧅾	𧅿
2718	𧆀	𧆁	𧆂	𧆃	𧆄	𧆅	𧆆	𧆇	𧆈	𧆉	𧆊	𧆋	𧆌	𧆍	𧆎	𧆏
2719	𧆐	𧆑	𧆒	𧆓	𧆔	𧆕	𧆖	𧆗	𧆘	𧆙	𧆚	𧆛	𧆜	𧆝	𧆞	𧆟
271A	𧆠	𧆡	𧆢	𧆣	𧆤	𧆥	𧆦	𧆧	𧆨	𧆩	𧆪	𧆫	𧆬	𧆭	𧆮	𧆯
271B	𧆰	𧆱	𧆲	𧆳	𧆴	𧆵	𧆶	𧆷	𧆸	𧆹	𧆺	𧆻	𧆼	𧆽	𧆾	𧆿
271C	𧇀	𧇁	𧇂	𧇃	𧇄	𧇅	𧇆	𧇇	𧇈	𧇉	𧇊	𧇋	𧇌	𧇍	𧇎	𧇏
271D	𧇐	𧇑	𧇒	𧇓	𧇔	𧇕	𧇖	𧇗	𧇘	𧇙	𧇚	𧇛	𧇜	𧇝	𧇞	𧇟
271E	𧇠	𧇡	𧇢	𧇣	𧇤	𧇥	𧇦	𧇧	𧇨	𧇩	𧇪	𧇫	𧇬	𧇭	𧇮	𧇯
271F	𧇰	𧇱	𧇲	𧇳	𧇴	𧇵	𧇶	𧇷	𧇸	𧇹	𧇺	𧇻	𧇼	𧇽	𧇾	𧇿
2720	𧈀	𧈁	𧈂	𧈃	𧈄	𧈅	𧈆	𧈇	𧈈	𧈉	𧈊	𧈋	𧈌	𧈍	𧈎	𧈏
2721	𧈐	𧈑	𧈒	𧈓	𧈔	𧈕	𧈖	𧈗	𧈘	𧈙	𧈚	𧈛	𧈜	𧈝	𧈞	𧈟
2722	𧈠	𧈡	𧈢	𧈣	𧈤	𧈥	𧈦	𧈧	𧈨	𧈩	𧈪	𧈫	𧈬	𧈭	𧈮	𧈯
2723	𧈰	𧈱	𧈲	𧈳	𧈴	𧈵	𧈶	𧈷	𧈸	𧈹	𧈺	𧈻	𧈼	𧈽	𧈾	𧈿
2724	𧉀	𧉁	𧉂	𧉃	𧉄	𧉅	𧉆	𧉇	𧉈	𧉉	𧉊	𧉋	𧉌	𧉍	𧉎	𧉏
2725	𧉐	𧉑	𧉒	𧉓	𧉔	𧉕	𧉖	𧉗	𧉘	𧉙	𧉚	𧉛	𧉜	𧉝	𧉞	𧉟
2726	𧉠	𧉡	𧉢	𧉣	𧉤	𧉥	𧉦	𧉧	𧉨	𧉩	𧉪	𧉫	𧉬	𧉭	𧉮	𧉯
2727	𧉰	𧉱	𧉲	𧉳	𧉴	𧉵	𧉶	𧉷	𧉸	𧉹	𧉺	𧉻	𧉼	𧉽	𧉾	𧉿
2728	𧊀	𧊁	𧊂	𧊃	𧊄	𧊅	𧊆	𧊇	𧊈	𧊉	𧊊	𧊋	𧊌	𧊍	𧊎	𧊏
2729	𧊐	𧊑	𧊒	𧊓	𧊔	𧊕	𧊖	𧊗	𧊘	𧊙	𧊚	𧊛	𧊜	𧊝	𧊞	𧊟
272A	𧊠	𧊡	𧊢	𧊣	𧊤	𧊥	𧊦	𧊧	𧊨	𧊩	𧊪	𧊫	𧊬	𧊭	𧊮	𧊯
272B	𧊰	𧊱	𧊲	𧊳	𧊴	𧊵	𧊶	𧊷	𧊸	𧊹	𧊺	𧊻	𧊼	𧊽	𧊾	𧊿
272C	𧋀	𧋁	𧋂	𧋃	𧋄	𧋅	𧋆	𧋇	𧋈	𧋉	𧋊	𧋋	𧋌	𧋍	𧋎	𧋏
272D	𧋐	𧋑	𧋒	𧋓	𧋔	𧋕	𧋖	𧋗	𧋘	𧋙	𧋚	𧋛	𧋜	𧋝	𧋞	𧋟
272E	𧋠	𧋡	𧋢	𧋣	𧋤	𧋥	𧋦	𧋧	𧋨	𧋩	𧋪	𧋫	𧋬	𧋭	𧋮	𧋯
272F	𧋰	𧋱	𧋲	𧋳	𧋴	𧋵	𧋶	𧋷	𧋸	𧋹	𧋺	𧋻	𧋼	𧋽	𧋾	𧋿
