汉字、所有汉字、汉字大全、全部汉字 一共(71724)个
编码	0	1	2	3	4	5	6	7	8	9	A	B	C	D	E	F
26B7	𦭰	𦭱	𦭲	𦭳	𦭴	𦭵	𦭶	𦭷	𦭸	𦭹	𦭺	𦭻	𦭼	𦭽	𦭾	𦭿
26B8	𦮀	𦮁	𦮂	𦮃	𦮄	𦮅	𦮆	𦮇	𦮈	𦮉	𦮊	𦮋	𦮌	𦮍	𦮎	𦮏
26B9	𦮐	𦮑	𦮒	𦮓	𦮔	𦮕	𦮖	𦮗	𦮘	𦮙	𦮚	𦮛	𦮜	𦮝	𦮞	𦮟
26BA	𦮠	𦮡	𦮢	𦮣	𦮤	𦮥	𦮦	𦮧	𦮨	𦮩	𦮪	𦮫	𦮬	𦮭	𦮮	𦮯
26BB	𦮰	𦮱	𦮲	𦮳	𦮴	𦮵	𦮶	𦮷	𦮸	𦮹	𦮺	𦮻	𦮼	𦮽	𦮾	𦮿
26BC	𦯀	𦯁	𦯂	𦯃	𦯄	𦯅	𦯆	𦯇	𦯈	𦯉	𦯊	𦯋	𦯌	𦯍	𦯎	𦯏
26BD	𦯐	𦯑	𦯒	𦯓	𦯔	𦯕	𦯖	𦯗	𦯘	𦯙	𦯚	𦯛	𦯜	𦯝	𦯞	𦯟
26BE	𦯠	𦯡	𦯢	𦯣	𦯤	𦯥	𦯦	𦯧	𦯨	𦯩	𦯪	𦯫	𦯬	𦯭	𦯮	𦯯
26BF	𦯰	𦯱	𦯲	𦯳	𦯴	𦯵	𦯶	𦯷	𦯸	𦯹	𦯺	𦯻	𦯼	𦯽	𦯾	𦯿
26C0	𦰀	𦰁	𦰂	𦰃	𦰄	𦰅	𦰆	𦰇	𦰈	𦰉	𦰊	𦰋	𦰌	𦰍	𦰎	𦰏
26C1	𦰐	𦰑	𦰒	𦰓	𦰔	𦰕	𦰖	𦰗	𦰘	𦰙	𦰚	𦰛	𦰜	𦰝	𦰞	𦰟
26C2	𦰠	𦰡	𦰢	𦰣	𦰤	𦰥	𦰦	𦰧	𦰨	𦰩	𦰪	𦰫	𦰬	𦰭	𦰮	𦰯
26C3	𦰰	𦰱	𦰲	𦰳	𦰴	𦰵	𦰶	𦰷	𦰸	𦰹	𦰺	𦰻	𦰼	𦰽	𦰾	𦰿
26C4	𦱀	𦱁	𦱂	𦱃	𦱄	𦱅	𦱆	𦱇	𦱈	𦱉	𦱊	𦱋	𦱌	𦱍	𦱎	𦱏
26C5	𦱐	𦱑	𦱒	𦱓	𦱔	𦱕	𦱖	𦱗	𦱘	𦱙	𦱚	𦱛	𦱜	𦱝	𦱞	𦱟
26C6	𦱠	𦱡	𦱢	𦱣	𦱤	𦱥	𦱦	𦱧	𦱨	𦱩	𦱪	𦱫	𦱬	𦱭	𦱮	𦱯
26C7	𦱰	𦱱	𦱲	𦱳	𦱴	𦱵	𦱶	𦱷	𦱸	𦱹	𦱺	𦱻	𦱼	𦱽	𦱾	𦱿
26C8	𦲀	𦲁	𦲂	𦲃	𦲄	𦲅	𦲆	𦲇	𦲈	𦲉	𦲊	𦲋	𦲌	𦲍	𦲎	𦲏
26C9	𦲐	𦲑	𦲒	𦲓	𦲔	𦲕	𦲖	𦲗	𦲘	𦲙	𦲚	𦲛	𦲜	𦲝	𦲞	𦲟
26CA	𦲠	𦲡	𦲢	𦲣	𦲤	𦲥	𦲦	𦲧	𦲨	𦲩	𦲪	𦲫	𦲬	𦲭	𦲮	𦲯
26CB	𦲰	𦲱	𦲲	𦲳	𦲴	𦲵	𦲶	𦲷	𦲸	𦲹	𦲺	𦲻	𦲼	𦲽	𦲾	𦲿
26CC	𦳀	𦳁	𦳂	𦳃	𦳄	𦳅	𦳆	𦳇	𦳈	𦳉	𦳊	𦳋	𦳌	𦳍	𦳎	𦳏
26CD	𦳐	𦳑	𦳒	𦳓	𦳔	𦳕	𦳖	𦳗	𦳘	𦳙	𦳚	𦳛	𦳜	𦳝	𦳞	𦳟
26CE	𦳠	𦳡	𦳢	𦳣	𦳤	𦳥	𦳦	𦳧	𦳨	𦳩	𦳪	𦳫	𦳬	𦳭	𦳮	𦳯
26CF	𦳰	𦳱	𦳲	𦳳	𦳴	𦳵	𦳶	𦳷	𦳸	𦳹	𦳺	𦳻	𦳼	𦳽	𦳾	𦳿
26D0	𦴀	𦴁	𦴂	𦴃	𦴄	𦴅	𦴆	𦴇	𦴈	𦴉	𦴊	𦴋	𦴌	𦴍	𦴎	𦴏
26D1	𦴐	𦴑	𦴒	𦴓	𦴔	𦴕	𦴖	𦴗	𦴘	𦴙	𦴚	𦴛	𦴜	𦴝	𦴞	𦴟
26D2	𦴠	𦴡	𦴢	𦴣	𦴤	𦴥	𦴦	𦴧	𦴨	𦴩	𦴪	𦴫	𦴬	𦴭	𦴮	𦴯
26D3	𦴰	𦴱	𦴲	𦴳	𦴴	𦴵	𦴶	𦴷	𦴸	𦴹	𦴺	𦴻	𦴼	𦴽	𦴾	𦴿
26D4	𦵀	𦵁	𦵂	𦵃	𦵄	𦵅	𦵆	𦵇	𦵈	𦵉	𦵊	𦵋	𦵌	𦵍	𦵎	𦵏
26D5	𦵐	𦵑	𦵒	𦵓	𦵔	𦵕	𦵖	𦵗	𦵘	𦵙	𦵚	𦵛	𦵜	𦵝	𦵞	𦵟
26D6	𦵠	𦵡	𦵢	𦵣	𦵤	𦵥	𦵦	𦵧	𦵨	𦵩	𦵪	𦵫	𦵬	𦵭	𦵮	𦵯
26D7	𦵰	𦵱	𦵲	𦵳	𦵴	𦵵	𦵶	𦵷	𦵸	𦵹	𦵺	𦵻	𦵼	𦵽	𦵾	𦵿
26D8	𦶀	𦶁	𦶂	𦶃	𦶄	𦶅	𦶆	𦶇	𦶈	𦶉	𦶊	𦶋	𦶌	𦶍	𦶎	𦶏
26D9	𦶐	𦶑	𦶒	𦶓	𦶔	𦶕	𦶖	𦶗	𦶘	𦶙	𦶚	𦶛	𦶜	𦶝	𦶞	𦶟
26DA	𦶠	𦶡	𦶢	𦶣	𦶤	𦶥	𦶦	𦶧	𦶨	𦶩	𦶪	𦶫	𦶬	𦶭	𦶮	𦶯
26DB	𦶰	𦶱	𦶲	𦶳	𦶴	𦶵	𦶶	𦶷	𦶸	𦶹	𦶺	𦶻	𦶼	𦶽	𦶾	𦶿
26DC	𦷀	𦷁	𦷂	𦷃	𦷄	𦷅	𦷆	𦷇	𦷈	𦷉	𦷊	𦷋	𦷌	𦷍	𦷎	𦷏
26DD	𦷐	𦷑	𦷒	𦷓	𦷔	𦷕	𦷖	𦷗	𦷘	𦷙	𦷚	𦷛	𦷜	𦷝	𦷞	𦷟
26DE	𦷠	𦷡	𦷢	𦷣	𦷤	𦷥	𦷦	𦷧	𦷨	𦷩	𦷪	𦷫	𦷬	𦷭	𦷮	𦷯
26DF	𦷰	𦷱	𦷲	𦷳	𦷴	𦷵	𦷶	𦷷	𦷸	𦷹	𦷺	𦷻	𦷼	𦷽	𦷾	𦷿
26E0	𦸀	𦸁	𦸂	𦸃	𦸄	𦸅	𦸆	𦸇	𦸈	𦸉	𦸊	𦸋	𦸌	𦸍	𦸎	𦸏
26E1	𦸐	𦸑	𦸒	𦸓	𦸔	𦸕	𦸖	𦸗	𦸘	𦸙	𦸚	𦸛	𦸜	𦸝	𦸞	𦸟
26E2	𦸠	𦸡	𦸢	𦸣	𦸤	𦸥	𦸦	𦸧	𦸨	𦸩	𦸪	𦸫	𦸬	𦸭	𦸮	𦸯
26E3	𦸰	𦸱	𦸲	𦸳	𦸴	𦸵	𦸶	𦸷	𦸸	𦸹	𦸺	𦸻	𦸼	𦸽	𦸾	𦸿
26E4	𦹀	𦹁	𦹂	𦹃	𦹄	𦹅	𦹆	𦹇	𦹈	𦹉	𦹊	𦹋	𦹌	𦹍	𦹎	𦹏
26E5	𦹐	𦹑	𦹒	𦹓	𦹔	𦹕	𦹖	𦹗	𦹘	𦹙	𦹚	𦹛	𦹜	𦹝	𦹞	𦹟
26E6	𦹠	𦹡	𦹢	𦹣	𦹤	𦹥	𦹦	𦹧	𦹨	𦹩	𦹪	𦹫	𦹬	𦹭	𦹮	𦹯
26E7	𦹰	𦹱	𦹲	𦹳	𦹴	𦹵	𦹶	𦹷	𦹸	𦹹	𦹺	𦹻	𦹼	𦹽	𦹾	𦹿
26E8	𦺀	𦺁	𦺂	𦺃	𦺄	𦺅	𦺆	𦺇	𦺈	𦺉	𦺊	𦺋	𦺌	𦺍	𦺎	𦺏
26E9	𦺐	𦺑	𦺒	𦺓	𦺔	𦺕	𦺖	𦺗	𦺘	𦺙	𦺚	𦺛	𦺜	𦺝	𦺞	𦺟
26EA	𦺠	𦺡	𦺢	𦺣	𦺤	𦺥	𦺦	𦺧	𦺨	𦺩	𦺪	𦺫	𦺬	𦺭	𦺮	𦺯
26EB	𦺰	𦺱	𦺲	𦺳	𦺴	𦺵	𦺶	𦺷	𦺸	𦺹	𦺺	𦺻	𦺼	𦺽	𦺾	𦺿
26EC	𦻀	𦻁	𦻂	𦻃	𦻄	𦻅	𦻆	𦻇	𦻈	𦻉	𦻊	𦻋	𦻌	𦻍	𦻎	𦻏
26ED	𦻐	𦻑	𦻒	𦻓	𦻔	𦻕	𦻖	𦻗	𦻘	𦻙	𦻚	𦻛	𦻜	𦻝	𦻞	𦻟
26EE	𦻠	𦻡	𦻢	𦻣	𦻤	𦻥	𦻦	𦻧	𦻨	𦻩	𦻪	𦻫	𦻬	𦻭	𦻮	𦻯
26EF	𦻰	𦻱	𦻲	𦻳	𦻴	𦻵	𦻶	𦻷	𦻸	𦻹	𦻺	𦻻	𦻼	𦻽	𦻾	𦻿
26F0	𦼀	𦼁	𦼂	𦼃	𦼄	𦼅	𦼆	𦼇	𦼈	𦼉	𦼊	𦼋	𦼌	𦼍	𦼎	𦼏
26F1	𦼐	𦼑	𦼒	𦼓	𦼔	𦼕	𦼖	𦼗	𦼘	𦼙	𦼚	𦼛	𦼜	𦼝	𦼞	𦼟
26F2	𦼠	𦼡	𦼢	𦼣	𦼤	𦼥	𦼦	𦼧	𦼨	𦼩	𦼪	𦼫	𦼬	𦼭	𦼮	𦼯
26F3	𦼰	𦼱	𦼲	𦼳	𦼴	𦼵	𦼶	𦼷	𦼸	𦼹	𦼺	𦼻	𦼼	𦼽	𦼾	𦼿
26F4	𦽀	𦽁	𦽂	𦽃	𦽄	𦽅	𦽆	𦽇	𦽈	𦽉	𦽊	𦽋	𦽌	𦽍	𦽎	𦽏
